,equity_usd
2021-01-01 00:00:00+00:00,149960.1209398756
2021-01-04 00:00:00+00:00,150050.191326981
2021-01-05 00:00:00+00:00,150093.3463984802
2021-01-06 00:00:00+00:00,150128.24583247394
2021-01-07 00:00:00+00:00,150211.59317505403
2021-01-08 00:00:00+00:00,150156.85924525213
2021-01-11 00:00:00+00:00,150175.7421468793
2021-01-12 00:00:00+00:00,150181.90453794508
2021-01-13 00:00:00+00:00,150160.16114019632
2021-01-14 00:00:00+00:00,150158.6809719625
2021-01-15 00:00:00+00:00,150137.8102457654
2021-01-18 00:00:00+00:00,150133.64141101803
2021-01-19 00:00:00+00:00,150083.7273250436
2021-01-20 00:00:00+00:00,150072.93800089916
2021-01-21 00:00:00+00:00,150314.09717652318
2021-01-22 00:00:00+00:00,150295.51065160477
2021-01-25 00:00:00+00:00,150227.01767347028
2021-01-26 00:00:00+00:00,150198.18883061697
2021-01-27 00:00:00+00:00,150125.66545383292
2021-01-28 00:00:00+00:00,150062.75565116655
2021-01-29 00:00:00+00:00,150006.73294068998
2021-02-01 00:00:00+00:00,149938.1972535595
2021-02-02 00:00:00+00:00,149903.2886773443
2021-02-03 00:00:00+00:00,150072.74308484088
2021-02-04 00:00:00+00:00,150194.79672129313
2021-02-05 00:00:00+00:00,150148.67356833242
2021-02-08 00:00:00+00:00,150100.59570928433
2021-02-09 00:00:00+00:00,150159.7941205806
2021-02-10 00:00:00+00:00,150151.03439935815
2021-02-11 00:00:00+00:00,150088.19777716344
2021-02-12 00:00:00+00:00,150014.73438599237
2021-02-15 00:00:00+00:00,149978.7477190778
2021-02-16 00:00:00+00:00,149909.29408633857
2021-02-17 00:00:00+00:00,149834.3394392954
2021-02-18 00:00:00+00:00,149783.26994939573
2021-02-19 00:00:00+00:00,149719.2855980864
2021-02-22 00:00:00+00:00,149663.93579464318
2021-02-23 00:00:00+00:00,149589.10382674585
2021-02-24 00:00:00+00:00,149668.0906892937
2021-02-25 00:00:00+00:00,149690.8846617366
2021-02-26 00:00:00+00:00,149658.99154550282
2021-03-01 00:00:00+00:00,149788.8851233974
2021-03-02 00:00:00+00:00,149723.5018521707
2021-03-03 00:00:00+00:00,149904.87227515096
2021-03-04 00:00:00+00:00,150073.20832099856
2021-03-05 00:00:00+00:00,149936.9828918316
2021-03-08 00:00:00+00:00,149936.65710773593
2021-03-09 00:00:00+00:00,149899.47783723526
2021-03-10 00:00:00+00:00,149914.68090954883
2021-03-11 00:00:00+00:00,150039.2773025153
2021-03-12 00:00:00+00:00,150016.59109683667
2021-03-15 00:00:00+00:00,149943.68615650613
2021-03-16 00:00:00+00:00,149923.9160500066
2021-03-17 00:00:00+00:00,149864.86407981682
2021-03-18 00:00:00+00:00,149846.66054899263
2021-03-19 00:00:00+00:00,149823.77322456596
2021-03-22 00:00:00+00:00,149876.31991807144
2021-03-23 00:00:00+00:00,149881.1138093797
2021-03-24 00:00:00+00:00,149988.2203285069
2021-03-25 00:00:00+00:00,149941.6722601291
2021-03-26 00:00:00+00:00,149866.70142399904
2021-03-29 00:00:00+00:00,149929.29240177377
2021-03-30 00:00:00+00:00,149918.94492655937
2021-03-31 00:00:00+00:00,149843.98545409608
2021-04-01 00:00:00+00:00,149809.63390010092
2021-04-02 00:00:00+00:00,149757.9153040215
2021-04-05 00:00:00+00:00,149697.32320708214
2021-04-06 00:00:00+00:00,149711.9869142106
2021-04-07 00:00:00+00:00,149755.5342393525
2021-04-08 00:00:00+00:00,149694.7352702754
2021-04-09 00:00:00+00:00,149660.12284023396
2021-04-12 00:00:00+00:00,149697.72434677248
2021-04-13 00:00:00+00:00,150035.81987396156
2021-04-14 00:00:00+00:00,150190.1100356326
2021-04-15 00:00:00+00:00,150176.98052126318
2021-04-16 00:00:00+00:00,150109.88572852855
2021-04-19 00:00:00+00:00,150063.6800481439
2021-04-20 00:00:00+00:00,150036.6256060647
2021-04-21 00:00:00+00:00,149977.35033596584
2021-04-22 00:00:00+00:00,149945.56982946716
2021-04-23 00:00:00+00:00,149892.90087499688
2021-04-26 00:00:00+00:00,149836.73696590587
2021-04-27 00:00:00+00:00,149783.78030998382
2021-04-28 00:00:00+00:00,149758.37912589413
2021-04-29 00:00:00+00:00,149820.13875825526
2021-04-30 00:00:00+00:00,149775.16520145079
2021-05-03 00:00:00+00:00,149712.1022423922
2021-05-04 00:00:00+00:00,149688.64017648416
2021-05-05 00:00:00+00:00,149760.83666867038
2021-05-06 00:00:00+00:00,149715.01889844873
2021-05-07 00:00:00+00:00,149663.28173319934
2021-05-10 00:00:00+00:00,149776.60731523778
2021-05-11 00:00:00+00:00,149714.3077622667
2021-05-12 00:00:00+00:00,149640.05995080437
2021-05-13 00:00:00+00:00,149574.62321396195
2021-05-14 00:00:00+00:00,149635.80780838887
2021-05-17 00:00:00+00:00,149588.7773679555
2021-05-18 00:00:00+00:00,149571.96087013162
2021-05-19 00:00:00+00:00,149703.33265224312
2021-05-20 00:00:00+00:00,149718.3913430546
2021-05-21 00:00:00+00:00,149658.1463342744
2021-05-24 00:00:00+00:00,149583.31726110727
2021-05-25 00:00:00+00:00,149507.98334940645
2021-05-26 00:00:00+00:00,149538.89897566664
2021-05-27 00:00:00+00:00,149506.0706972701
2021-05-28 00:00:00+00:00,149554.80101599023
2021-05-31 00:00:00+00:00,149735.74481362206
2021-06-01 00:00:00+00:00,149690.03263623966
2021-06-02 00:00:00+00:00,149781.51437493923
2021-06-03 00:00:00+00:00,149731.60373519454
2021-06-04 00:00:00+00:00,149772.61308824577
2021-06-07 00:00:00+00:00,149774.57161530037
2021-06-08 00:00:00+00:00,149890.50253799098
2021-06-09 00:00:00+00:00,149882.27949965326
2021-06-10 00:00:00+00:00,149814.84058000494
2021-06-11 00:00:00+00:00,149764.46251413418
2021-06-14 00:00:00+00:00,149877.6102023761
2021-06-15 00:00:00+00:00,149844.3006605153
2021-06-16 00:00:00+00:00,149836.96087181583
2021-06-17 00:00:00+00:00,149802.1834913976
2021-06-18 00:00:00+00:00,149755.05136356447
2021-06-21 00:00:00+00:00,149833.78414465257
2021-06-22 00:00:00+00:00,149772.5423773881
